longitude,latitude,dist,latlon
116.409688,39.958188,朝阳,"116.409688,39.958188"
116.41695,39.953993,朝阳,"116.41695,39.953993"
116.410078,39.96471,朝阳,"116.410078,39.96471"
116.409688,39.958188,朝阳,"116.409688,39.958188"
116.409688,39.958188,朝阳,"116.409688,39.958188"
116.409688,39.958188,朝阳,"116.409688,39.958188"
116.405464,39.957204,朝阳,"116.405464,39.957204"
116.411359,39.964549,朝阳,"116.411359,39.964549"
116.410253,39.968681,朝阳,"116.410253,39.968681"
116.413584,39.968217,朝阳,"116.413584,39.968217"
116.413053,39.962564,朝阳,"116.413053,39.962564"
116.41545,39.952859,朝阳,"116.41545,39.952859"
116.404412,39.952825,朝阳,"116.404412,39.952825"
116.400533,39.962226,朝阳,"116.400533,39.962226"
116.400533,39.962226,朝阳,"116.400533,39.962226"
116.417991,39.956806,朝阳,"116.417991,39.956806"
116.407868,39.95802,朝阳,"116.407868,39.95802"
116.416828,39.952781,朝阳,"116.416828,39.952781"
116.400524,39.958938,朝阳,"116.400524,39.958938"
116.394978,39.963326,朝阳,"116.394978,39.963326"
116.400533,39.962226,朝阳,"116.400533,39.962226"
116.403478,39.963248,朝阳,"116.403478,39.963248"
116.417991,39.956806,朝阳,"116.417991,39.956806"
116.400524,39.958938,朝阳,"116.400524,39.958938"
116.405464,39.957204,朝阳,"116.405464,39.957204"
116.413584,39.968217,朝阳,"116.413584,39.968217"
116.412397,39.966393,朝阳,"116.412397,39.966393"
116.417991,39.956806,朝阳,"116.417991,39.956806"
116.416922,39.951931,朝阳,"116.416922,39.951931"
116.41696,39.953572,朝阳,"116.41696,39.953572"
116.413584,39.968217,朝阳,"116.413584,39.968217"
116.406466,39.957716,朝阳,"116.406466,39.957716"
116.416916,39.952631,朝阳,"116.416916,39.952631"
116.413584,39.968217,朝阳,"116.413584,39.968217"
116.408775,39.95471,朝阳,"116.408775,39.95471"
116.412539,39.967344,朝阳,"116.412539,39.967344"
116.417991,39.956806,朝阳,"116.417991,39.956806"
116.413053,39.962564,朝阳,"116.413053,39.962564"
116.404579,39.978491,朝阳,"116.404579,39.978491"
116.417395,39.981069,朝阳,"116.417395,39.981069"
116.418876,39.968393,朝阳,"116.418876,39.968393"
116.414432,39.977111,朝阳,"116.414432,39.977111"
116.402242,39.973402,朝阳,"116.402242,39.973402"
116.41186,39.978148,朝阳,"116.41186,39.978148"
116.419101,39.969829,朝阳,"116.419101,39.969829"
116.404579,39.978491,朝阳,"116.404579,39.978491"
116.404579,39.978491,朝阳,"116.404579,39.978491"
116.404579,39.978491,朝阳,"116.404579,39.978491"
116.414549,39.97239,朝阳,"116.414549,39.97239"
116.421864,39.970675,朝阳,"116.421864,39.970675"
116.416187,39.969551,朝阳,"116.416187,39.969551"
116.402242,39.973402,朝阳,"116.402242,39.973402"
116.421023,39.970891,朝阳,"116.421023,39.970891"
116.418876,39.968393,朝阳,"116.418876,39.968393"
116.416542,39.978153,朝阳,"116.416542,39.978153"
116.411554,39.971886,朝阳,"116.411554,39.971886"
116.423188,39.969902,朝阳,"116.423188,39.969902"
116.414549,39.97239,朝阳,"116.414549,39.97239"
116.416187,39.969551,朝阳,"116.416187,39.969551"
116.404579,39.978491,朝阳,"116.404579,39.978491"
116.404579,39.978491,朝阳,"116.404579,39.978491"
116.404579,39.978491,朝阳,"116.404579,39.978491"
116.41186,39.978148,朝阳,"116.41186,39.978148"
116.402242,39.973402,朝阳,"116.402242,39.973402"
116.402242,39.973402,朝阳,"116.402242,39.973402"
116.402242,39.973402,朝阳,"116.402242,39.973402"
116.411554,39.971886,朝阳,"116.411554,39.971886"
116.414549,39.97239,朝阳,"116.414549,39.97239"
116.402242,39.973402,朝阳,"116.402242,39.973402"
116.416187,39.969551,朝阳,"116.416187,39.969551"
116.416748,39.979413,朝阳,"116.416748,39.979413"
116.402242,39.973402,朝阳,"116.402242,39.973402"
116.402242,39.973402,朝阳,"116.402242,39.973402"
116.404579,39.978491,朝阳,"116.404579,39.978491"
116.404579,39.978491,朝阳,"116.404579,39.978491"
116.411554,39.971886,朝阳,"116.411554,39.971886"
116.404579,39.978491,朝阳,"116.404579,39.978491"
116.416187,39.969551,朝阳,"116.416187,39.969551"
116.416187,39.969551,朝阳,"116.416187,39.969551"
116.414899,39.979866,朝阳,"116.414899,39.979866"
116.411554,39.971886,朝阳,"116.411554,39.971886"
116.41186,39.978148,朝阳,"116.41186,39.978148"
116.405549,39.975629,朝阳,"116.405549,39.975629"
116.411554,39.971886,朝阳,"116.411554,39.971886"
116.411554,39.971886,朝阳,"116.411554,39.971886"
116.41186,39.978148,朝阳,"116.41186,39.978148"
